Month,ShortCat,Value
2016 September,Clothing & Footwear,96.8
2016 September,Electrical Goods,116.1
2016 September,Motor Trades,109.1
2016 September,Food Stores,102.0
2016 September,Department Stores,94.4
2016 September,Automotive Fuel,96.0
2016 September,Motor Trades,92.1
2016 September,Food Stores,100.0
2016 September,Hardware & DIY,102.7
2016 September,Furniture & Lighting,109.6
2016 September,Bars,103.6
2016 September,Electrical Goods,101.4
2016 September,Bars,102.4
2016 September,Pharmacy & Cosmetics,102.4
2016 September,Pharmacy & Cosmetics,95.3
2016 September,Clothing & Footwear,94.2
2016 September,Electrical Goods,104.4
2016 September,Bars,111.6
2016 September,Department Stores,84.9
2016 September,Automotive Fuel,101.6
2016 September,Furniture & Lighting,114.4
2016 September,Clothing & Footwear,102.4
2016 September,Department Stores,82.4
2016 September,Furniture & Lighting,114.6
2016 September,Clothing & Footwear,105.1
2016 September,Electrical Goods,114.0
2016 September,Bars,101.4
2016 September,Hardware & DIY,106.1
2016 September,Automotive Fuel,100.3
2016 September,Department Stores,98.3
2016 September,Food Stores,103.9
2016 September,Motor Trades,111.4
2016 September,Pharmacy & Cosmetics,105.1
2016 October,Bars,106.1
2016 October,Food Stores,104.9
2016 October,Department Stores,99.8
2016 October,Automotive Fuel,101.8
2016 October,Hardware & DIY,108.7
2016 October,Furniture & Lighting,116.7
2016 October,Bars,104.4
2016 October,Electrical Goods,112.8
2016 October,Clothing & Footwear,106.6
2016 October,Pharmacy & Cosmetics,100.4
2016 October,Motor Trades,109.7
2016 October,Hardware & DIY,104.8
2016 October,Motor Trades,65.2
2016 October,Food Stores,102.8
2016 October,Department Stores,88.9
2016 October,Food Stores,102.7
2016 October,Department Stores,95.5
2016 October,Motor Trades,114.7
2016 October,Automotive Fuel,98.5
2016 October,Pharmacy & Cosmetics,93.7
2016 October,Clothing & Footwear,98.2
2016 October,Electrical Goods,94.9
2016 October,Bars,110.5
2016 October,Automotive Fuel,98.5
2016 October,Furniture & Lighting,93.6
2016 October,Hardware & DIY,98.5
2016 October,Hardware & DIY,104.8
2016 October,Automotive Fuel,101.4
2016 October,Department Stores,91.2
2016 October,Pharmacy & Cosmetics,96.4
2016 October,Furniture & Lighting,120.9
2016 October,Bars,104.1
2016 October,Electrical Goods,104.1
2016 October,Clothing & Footwear,99.4
2016 October,Clothing & Footwear,103.2
2016 October,Pharmacy & Cosmetics,99.0
2016 October,Food Stores,104.4
2016 October,Motor Trades,79.0
2016 October,Furniture & Lighting,108.1
2016 October,Electrical Goods,100.6
2016 November,Bars,104.6
2016 November,Hardware & DIY,106.8
2016 November,Automotive Fuel,106.0
2016 November,Food Stores,105.8
2016 November,Furniture & Lighting,125.6
2016 November,Electrical Goods,132.2
2016 November,Bars,94.5
2016 November,Pharmacy & Cosmetics,105.8
2016 November,Furniture & Lighting,143.4
2016 November,Motor Trades,109.6
2016 November,Motor Trades,51.9
2016 November,Clothing & Footwear,106.6
2016 November,Pharmacy & Cosmetics,106.3
2016 November,Pharmacy & Cosmetics,102.6
2016 November,Clothing & Footwear,103.5
2016 November,Pharmacy & Cosmetics,109.9
2016 November,Clothing & Footwear,115.0
2016 November,Food Stores,101.7
2016 November,Department Stores,123.5
2016 November,Automotive Fuel,101.8
2016 November,Department Stores,128.8
2016 November,Food Stores,105.7
2016 November,Motor Trades,73.9
2016 November,Motor Trades,116.3
2016 November,Food Stores,103.9
2016 November,Clothing & Footwear,113.1
2016 November,Department Stores,95.3
2016 November,Department Stores,100.4
2016 November,Automotive Fuel,108.0
2016 November,Electrical Goods,159.6
2016 November,Hardware & DIY,117.3
2016 November,Automotive Fuel,104.5
2016 November,Hardware & DIY,115.9
2016 November,Furniture & Lighting,121.1
2016 November,Bars,100.7
2016 November,Electrical Goods,112.6
2016 November,Electrical Goods,98.5
2016 November,Bars,102.9
2016 November,Furniture & Lighting,113.6
2016 November,Hardware & DIY,109.0
2016 December,Pharmacy & Cosmetics,147.8
2016 December,Electrical Goods,111.1
2016 December,Clothing & Footwear,108.0
2016 December,Pharmacy & Cosmetics,106.0
2016 December,Bars,126.3
2016 December,Electrical Goods,198.9
2016 December,Clothing & Footwear,176.4
2016 December,Food Stores,103.3
2016 December,Department Stores,95.3
2016 December,Automotive Fuel,101.9
2016 December,Hardware & DIY,103.0
2016 December,Furniture & Lighting,111.5
2016 December,Bars,104.6
2016 December,Electrical Goods,97.1
2016 December,Clothing & Footwear,103.9
2016 December,Furniture & Lighting,124.0
2016 December,Motor Trades,111.9
2016 December,Hardware & DIY,114.7
2016 December,Automotive Fuel,93.2
2016 December,Department Stores,194.9
2016 December,Motor Trades,35.2
2016 December,Food Stores,120.3
2016 December,Department Stores,191.2
2016 December,Hardware & DIY,102.1
2016 December,Furniture & Lighting,138.4
2016 December,Bars,128.6
2016 December,Electrical Goods,171.0
2016 December,Clothing & Footwear,174.9
2016 December,Automotive Fuel,101.7
2016 December,Pharmacy & Cosmetics,163.0
2016 December,Food Stores,104.9
2016 December,Department Stores,100.8
2016 December,Automotive Fuel,105.1
2016 December,Hardware & DIY,110.4
2016 December,Furniture & Lighting,117.3
2016 December,Bars,103.5
2016 December,Motor Trades,56.6
2016 December,Food Stores,120.3
2016 December,Motor Trades,119.9
2016 December,Pharmacy & Cosmetics,102.5
2017 January,Bars,109.1
2017 January,Motor Trades,224.7
2017 January,Automotive Fuel,100.5
2017 January,Department Stores,77.1
2017 January,Food Stores,94.2
2017 January,Electrical Goods,99.3
2017 January,Hardware & DIY,106.0
2017 January,Pharmacy & Cosmetics,104.3
2017 January,Clothing & Footwear,103.8
2017 January,Motor Trades,121.8
2017 January,Hardware & DIY,86.1
2017 January,Food Stores,106.1
2017 January,Automotive Fuel,104.6
2017 January,Hardware & DIY,110.6
2017 January,Furniture & Lighting,125.7
2017 January,Bars,112.4
2017 January,Electrical Goods,115.9
2017 January,Clothing & Footwear,108.2
2017 January,Pharmacy & Cosmetics,110.1
2017 January,Furniture & Lighting,113.1
2017 January,Department Stores,103.0
2017 January,Furniture & Lighting,132.5
2017 January,Motor Trades,116.2
2017 January,Electrical Goods,95.7
2017 January,Motor Trades,201.5
2017 January,Automotive Fuel,98.0
2017 January,Bars,80.5
2017 January,Hardware & DIY,92.4
2017 January,Furniture & Lighting,126.4
2017 January,Bars,91.4
2017 January,Electrical Goods,128.7
2017 January,Clothing & Footwear,90.4
2017 January,Pharmacy & Cosmetics,104.8
2017 January,Food Stores,103.2
2017 January,Department Stores,96.3
2017 January,Automotive Fuel,105.9
2017 January,Pharmacy & Cosmetics,93.7
2017 January,Clothing & Footwear,79.9
2017 January,Food Stores,98.9
2017 January,Department Stores,89.2
2017 February,Pharmacy & Cosmetics,92.5
2017 February,Furniture & Lighting,147.5
2017 February,Bars,90.0
2017 February,Food Stores,104.0
2017 February,Department Stores,96.2
2017 February,Automotive Fuel,106.0
2017 February,Hardware & DIY,107.5
2017 February,Furniture & Lighting,113.5
2017 February,Bars,107.5
2017 February,Electrical Goods,99.7
2017 February,Clothing & Footwear,105.2
2017 February,Pharmacy & Cosmetics,102.9
2017 February,Clothing & Footwear,81.9
2017 February,Motor Trades,115.1
2017 February,Electrical Goods,78.8
2017 February,Automotive Fuel,107.1
2017 February,Food Stores,101.8
2017 February,Pharmacy & Cosmetics,102.7
2017 February,Department Stores,74.1
2017 February,Electrical Goods,95.0
2017 February,Bars,95.3
2017 February,Furniture & Lighting,119.3
2017 February,Hardware & DIY,100.5
2017 February,Automotive Fuel,108.4
2017 February,Department Stores,82.9
2017 February,Food Stores,112.3
2017 February,Motor Trades,178.2
2017 February,Pharmacy & Cosmetics,107.6
2017 February,Clothing & Footwear,84.6
2017 February,Clothing & Footwear,109.4
2017 February,Motor Trades,117.4
2017 February,Food Stores,107.0
2017 February,Department Stores,103.0
2017 February,Automotive Fuel,103.4
2017 February,Hardware & DIY,112.7
2017 February,Furniture & Lighting,125.0
2017 February,Bars,106.8
2017 February,Electrical Goods,116.5
2017 February,Hardware & DIY,95.0
2017 February,Motor Trades,174.2
2017 March,Clothing & Footwear,87.1
2017 March,Motor Trades,140.3
2017 March,Food Stores,100.1
2017 March,Department Stores,74.1
2017 March,Pharmacy & Cosmetics,92.9
2017 March,Clothing & Footwear,85.9
2017 March,Bars,97.6
2017 March,Furniture & Lighting,94.4
2017 March,Pharmacy & Cosmetics,100.4
2017 March,Hardware & DIY,101.7
2017 March,Food Stores,103.3
2017 March,Department Stores,84.7
2017 March,Automotive Fuel,102.2
2017 March,Hardware & DIY,108.8
2017 March,Automotive Fuel,102.1
2017 March,Bars,103.8
2017 March,Electrical Goods,94.3
2017 March,Motor Trades,146.3
2017 March,Motor Trades,116.5
2017 March,Furniture & Lighting,110.0
2017 March,Clothing & Footwear,108.7
2017 March,Food Stores,106.8
2017 March,Department Stores,102.6
2017 March,Automotive Fuel,103.5
2017 March,Pharmacy & Cosmetics,107.9
2017 March,Motor Trades,113.7
2017 March,Food Stores,103.8
2017 March,Department Stores,94.0
2017 March,Automotive Fuel,104.6
2017 March,Hardware & DIY,107.2
2017 March,Hardware & DIY,112.0
2017 March,Electrical Goods,81.2
2017 March,Furniture & Lighting,109.6
2017 March,Bars,107.4
2017 March,Electrical Goods,100.7
2017 March,Clothing & Footwear,103.8
2017 March,Pharmacy & Cosmetics,103.9
2017 March,Electrical Goods,117.7
2017 March,Bars,106.6
2017 March,Furniture & Lighting,122.5
2017 April,Pharmacy & Cosmetics,101.0
2017 April,Clothing & Footwear,101.3
2017 April,Electrical Goods,94.3
2017 April,Bars,106.2
2017 April,Furniture & Lighting,122.0
2017 April,Pharmacy & Cosmetics,94.2
2017 April,Clothing & Footwear,95.0
2017 April,Department Stores,89.3
2017 April,Bars,101.0
2017 April,Food Stores,107.1
2017 April,Hardware & DIY,118.8
2017 April,Automotive Fuel,104.7
2017 April,Department Stores,85.3
2017 April,Food Stores,108.1
2017 April,Motor Trades,129.0
2017 April,Motor Trades,116.1
2017 April,Hardware & DIY,119.8
2017 April,Automotive Fuel,106.0
2017 April,Electrical Goods,84.5
2017 April,Furniture & Lighting,98.4
2017 April,Food Stores,104.6
2017 April,Electrical Goods,121.6
2017 April,Electrical Goods,103.4
2017 April,Furniture & Lighting,114.0
2017 April,Hardware & DIY,108.6
2017 April,Automotive Fuel,102.7
2017 April,Department Stores,98.6
2017 April,Motor Trades,107.2
2017 April,Motor Trades,111.3
2017 April,Food Stores,108.2
2017 April,Department Stores,106.0
2017 April,Automotive Fuel,102.6
2017 April,Hardware & DIY,112.5
2017 April,Furniture & Lighting,129.6
2017 April,Bars,109.3
2017 April,Clothing & Footwear,111.3
2017 April,Pharmacy & Cosmetics,107.3
2017 April,Clothing & Footwear,104.9
2017 April,Pharmacy & Cosmetics,102.4
2017 April,Bars,110.8
2017 May,Motor Trades,109.4
2017 May,Electrical Goods,126.3
2017 May,Bars,104.7
2017 May,Furniture & Lighting,129.4
2017 May,Hardware & DIY,113.8
2017 May,Automotive Fuel,104.4
2017 May,Department Stores,103.3
2017 May,Food Stores,108.9
2017 May,Motor Trades,113.0
2017 May,Pharmacy & Cosmetics,100.8
2017 May,Clothing & Footwear,104.3
2017 May,Electrical Goods,89.8
2017 May,Bars,106.8
2017 May,Food Stores,105.7
2017 May,Furniture & Lighting,90.0
2017 May,Automotive Fuel,109.8
2017 May,Food Stores,105.8
2017 May,Motor Trades,102.3
2017 May,Pharmacy & Cosmetics,105.8
2017 May,Clothing & Footwear,105.5
2017 May,Electrical Goods,108.2
2017 May,Bars,106.2
2017 May,Furniture & Lighting,115.5
2017 May,Clothing & Footwear,111.7
2017 May,Hardware & DIY,109.0
2017 May,Automotive Fuel,103.6
2017 May,Department Stores,95.0
2017 May,Hardware & DIY,138.2
2017 May,Pharmacy & Cosmetics,113.1
2017 May,Department Stores,82.3
2017 May,Hardware & DIY,129.0
2017 May,Department Stores,88.0
2017 May,Automotive Fuel,108.1
2017 May,Furniture & Lighting,114.5
2017 May,Bars,106.4
2017 May,Electrical Goods,95.9
2017 May,Clothing & Footwear,107.4
2017 May,Pharmacy & Cosmetics,107.9
2017 May,Food Stores,108.1
2017 May,Motor Trades,104.9
2017 June,Clothing & Footwear,115.0
2017 June,Electrical Goods,104.1
2017 June,Pharmacy & Cosmetics,101.8
2017 June,Bars,107.3
2017 June,Clothing & Footwear,105.2
2017 June,Furniture & Lighting,117.1
2017 June,Hardware & DIY,106.9
2017 June,Automotive Fuel,101.4
2017 June,Department Stores,95.0
2017 June,Food Stores,106.3
2017 June,Motor Trades,74.2
2017 June,Food Stores,108.8
2017 June,Department Stores,98.9
2017 June,Automotive Fuel,105.0
2017 June,Motor Trades,103.5
2017 June,Furniture & Lighting,129.0
2017 June,Bars,108.8
2017 June,Electrical Goods,101.7
2017 June,Pharmacy & Cosmetics,107.1
2017 June,Hardware & DIY,123.1
2017 June,Clothing & Footwear,107.9
2017 June,Food Stores,104.9
2017 June,Motor Trades,72.1
2017 June,Pharmacy & Cosmetics,109.4
2017 June,Clothing & Footwear,112.5
2017 June,Electrical Goods,124.6
2017 June,Bars,105.3
2017 June,Furniture & Lighting,131.6
2017 June,Hardware & DIY,112.9
2017 June,Automotive Fuel,104.3
2017 June,Department Stores,103.7
2017 June,Pharmacy & Cosmetics,104.0
2017 June,Food Stores,110.3
2017 June,Automotive Fuel,107.4
2017 June,Hardware & DIY,116.7
2017 June,Furniture & Lighting,120.0
2017 June,Department Stores,92.4
2017 June,Electrical Goods,92.5
2017 June,Motor Trades,108.2
2017 June,Bars,108.0
2017 July,Motor Trades,161.7
2017 July,Electrical Goods,86.0
2017 July,Food Stores,104.7
2017 July,Department Stores,86.5
2017 July,Automotive Fuel,100.7
2017 July,Hardware & DIY,116.6
2017 July,Furniture & Lighting,88.3
2017 July,Bars,120.0
2017 July,Food Stores,105.4
2017 July,Furniture & Lighting,117.5
2017 July,Automotive Fuel,101.1
2017 July,Hardware & DIY,110.3
2017 July,Pharmacy & Cosmetics,103.8
2017 July,Bars,110.0
2017 July,Electrical Goods,102.1
2017 July,Clothing & Footwear,107.1
2017 July,Pharmacy & Cosmetics,102.7
2017 July,Pharmacy & Cosmetics,98.1
2017 July,Department Stores,94.7
2017 July,Clothing & Footwear,110.2
2017 July,Pharmacy & Cosmetics,108.6
2017 July,Clothing & Footwear,124.6
2017 July,Clothing & Footwear,115.3
2017 July,Electrical Goods,124.1
2017 July,Bars,107.0
2017 July,Furniture & Lighting,132.8
2017 July,Hardware & DIY,116.6
2017 July,Automotive Fuel,104.6
2017 July,Department Stores,104.5
2017 July,Food Stores,108.9
2017 July,Motor Trades,116.2
2017 July,Motor Trades,114.0
2017 July,Bars,110.6
2017 July,Electrical Goods,107.6
2017 July,Furniture & Lighting,132.3
2017 July,Hardware & DIY,122.7
2017 July,Automotive Fuel,104.7
2017 July,Department Stores,98.5
2017 July,Food Stores,107.5
2017 July,Motor Trades,162.2
2017 August,Automotive Fuel,101.5
2017 August,Motor Trades,116.6
2017 August,Motor Trades,112.3
2017 August,Food Stores,109.8
2017 August,Department Stores,103.3
2017 August,Automotive Fuel,104.5
2017 August,Hardware & DIY,119.5
2017 August,Furniture & Lighting,131.9
2017 August,Bars,104.8
2017 August,Electrical Goods,126.9
2017 August,Clothing & Footwear,116.2
2017 August,Pharmacy & Cosmetics,111.7
2017 August,Electrical Goods,110.5
2017 August,Bars,116.3
2017 August,Food Stores,106.1
2017 August,Hardware & DIY,118.0
2017 August,Automotive Fuel,99.5
2017 August,Department Stores,95.5
2017 August,Food Stores,106.8
2017 August,Motor Trades,102.8
2017 August,Clothing & Footwear,127.1
2017 August,Furniture & Lighting,117.3
2017 August,Hardware & DIY,113.1
2017 August,Department Stores,94.2
2017 August,Furniture & Lighting,140.4
2017 August,Pharmacy & Cosmetics,106.9
2017 August,Food Stores,102.2
2017 August,Department Stores,86.8
2017 August,Automotive Fuel,97.7
2017 August,Hardware & DIY,113.1
2017 August,Furniture & Lighting,117.0
2017 August,Bars,124.7
2017 August,Electrical Goods,99.5
2017 August,Clothing & Footwear,110.3
2017 August,Pharmacy & Cosmetics,102.4
2017 August,Pharmacy & Cosmetics,105.6
2017 August,Clothing & Footwear,107.3
2017 August,Electrical Goods,103.6
2017 August,Bars,108.4
2017 August,Motor Trades,101.2
2017 September,Motor Trades,106.4
2017 September,Furniture & Lighting,132.1
2017 September,Clothing & Footwear,99.7
2017 September,Electrical Goods,130.2
2017 September,Bars,107.2
2017 September,Food Stores,106.9
2017 September,Hardware & DIY,111.5
2017 September,Automotive Fuel,99.1
2017 September,Pharmacy & Cosmetics,104.9
2017 September,Department Stores,96.2
2017 September,Motor Trades,109.7
2017 September,Hardware & DIY,109.8
2017 September,Furniture & Lighting,119.3
2017 September,Department Stores,90.7
2017 September,Food Stores,110.8
2017 September,Department Stores,105.9
2017 September,Automotive Fuel,97.7
2017 September,Hardware & DIY,116.6
2017 September,Furniture & Lighting,134.7
2017 September,Bars,105.6
2017 September,Electrical Goods,126.9
2017 September,Clothing & Footwear,108.9
2017 September,Pharmacy & Cosmetics,110.8
2017 September,Pharmacy & Cosmetics,103.9
2017 September,Clothing & Footwear,101.5
2017 September,Automotive Fuel,97.4
2017 September,Food Stores,106.9
2017 September,Electrical Goods,102.2
2017 September,Electrical Goods,106.4
2017 September,Motor Trades,82.8
2017 September,Food Stores,102.7
2017 September,Department Stores,83.2
2017 September,Automotive Fuel,98.9
2017 September,Hardware & DIY,101.9
2017 September,Bars,108.9
2017 September,Furniture & Lighting,122.2
2017 September,Bars,119.0
2017 September,Clothing & Footwear,92.6
2017 September,Pharmacy & Cosmetics,96.4
2017 September,Motor Trades,90.9
2017 October,Motor Trades,109.5
2017 October,Bars,107.5
2017 October,Electrical Goods,99.5
2017 October,Pharmacy & Cosmetics,105.6
2017 October,Motor Trades,62.7
2017 October,Food Stores,107.1
2017 October,Department Stores,87.9
2017 October,Automotive Fuel,103.5
2017 October,Hardware & DIY,103.9
2017 October,Furniture & Lighting,102.9
2017 October,Bars,112.4
2017 October,Electrical Goods,94.3
2017 October,Clothing & Footwear,97.5
2017 October,Clothing & Footwear,103.9
2017 October,Pharmacy & Cosmetics,115.8
2017 October,Food Stores,110.5
2017 October,Electrical Goods,114.0
2017 October,Motor Trades,104.3
2017 October,Food Stores,106.9
2017 October,Department Stores,94.8
2017 October,Automotive Fuel,103.6
2017 October,Hardware & DIY,111.0
2017 October,Furniture & Lighting,118.5
2017 October,Pharmacy & Cosmetics,113.5
2017 October,Clothing & Footwear,112.5
2017 October,Clothing & Footwear,103.3
2017 October,Bars,103.8
2017 October,Furniture & Lighting,133.7
2017 October,Electrical Goods,123.7
2017 October,Automotive Fuel,104.2
2017 October,Bars,103.8
2017 October,Furniture & Lighting,139.8
2017 October,Hardware & DIY,113.1
2017 October,Automotive Fuel,103.4
2017 October,Department Stores,95.2
2017 October,Food Stores,110.0
2017 October,Hardware & DIY,117.7
2017 October,Pharmacy & Cosmetics,105.5
2017 October,Department Stores,104.7
2017 October,Motor Trades,77.6
2017 November,Electrical Goods,135.1
2017 November,Bars,104.8
2017 November,Furniture & Lighting,135.9
2017 November,Hardware & DIY,124.5
2017 November,Automotive Fuel,105.5
2017 November,Motor Trades,113.1
2017 November,Furniture & Lighting,119.5
2017 November,Pharmacy & Cosmetics,112.9
2017 November,Hardware & DIY,125.9
2017 November,Automotive Fuel,107.6
2017 November,Department Stores,143.6
2017 November,Food Stores,113.1
2017 November,Motor Trades,75.4
2017 November,Food Stores,111.9
2017 November,Furniture & Lighting,160.5
2017 November,Department Stores,131.4
2017 November,Hardware & DIY,112.2
2017 November,Furniture & Lighting,133.4
2017 November,Bars,109.7
2017 November,Electrical Goods,149.0
2017 November,Clothing & Footwear,119.3
2017 November,Pharmacy & Cosmetics,108.8
2017 November,Automotive Fuel,110.1
2017 November,Bars,97.1
2017 November,Electrical Goods,201.1
2017 November,Clothing & Footwear,121.6
2017 November,Motor Trades,52.3
2017 November,Pharmacy & Cosmetics,105.4
2017 November,Clothing & Footwear,106.4
2017 November,Electrical Goods,106.0
2017 November,Clothing & Footwear,114.6
2017 November,Food Stores,111.4
2017 November,Bars,108.8
2017 November,Automotive Fuel,105.9
2017 November,Department Stores,98.9
2017 November,Food Stores,107.5
2017 November,Motor Trades,108.1
2017 November,Pharmacy & Cosmetics,116.4
2017 November,Hardware & DIY,115.1
2017 November,Department Stores,109.5
2017 December,Electrical Goods,130.1
2017 December,Clothing & Footwear,115.6
2017 December,Pharmacy & Cosmetics,111.6
2017 December,Food Stores,107.4
2017 December,Clothing & Footwear,106.7
2017 December,Electrical Goods,101.4
2017 December,Bars,109.3
2017 December,Furniture & Lighting,126.3
2017 December,Hardware & DIY,114.1
2017 December,Automotive Fuel,104.9
2017 December,Department Stores,97.8
2017 December,Bars,106.0
2017 December,Motor Trades,109.7
2017 December,Pharmacy & Cosmetics,103.7
2017 December,Furniture & Lighting,141.1
2017 December,Food Stores,125.4
2017 December,Automotive Fuel,103.9
2017 December,Hardware & DIY,123.6
2017 December,Electrical Goods,231.5
2017 December,Bars,129.8
2017 December,Furniture & Lighting,148.5
2017 December,Hardware & DIY,128.5
2017 December,Automotive Fuel,101.6
2017 December,Department Stores,210.1
2017 December,Food Stores,127.2
2017 December,Motor Trades,55.5
2017 December,Pharmacy & Cosmetics,164.5
2017 December,Clothing & Footwear,177.8
2017 December,Motor Trades,34.2
2017 December,Electrical Goods,176.3
2017 December,Bars,134.7
2017 December,Furniture & Lighting,157.1
2017 December,Hardware & DIY,112.0
2017 December,Automotive Fuel,96.0
2017 December,Department Stores,195.9
2017 December,Motor Trades,114.9
2017 December,Food Stores,111.3
2017 December,Department Stores,109.1
2017 December,Clothing & Footwear,186.9
2017 December,Pharmacy & Cosmetics,154.2
2018 January,Department Stores,91.8
2018 January,Food Stores,103.8
2018 January,Furniture & Lighting,123.9
2018 January,Hardware & DIY,116.6
2018 January,Automotive Fuel,107.5
2018 January,Department Stores,97.0
2018 January,Food Stores,107.2
2018 January,Motor Trades,114.6
2018 January,Bars,107.3
2018 January,Motor Trades,198.2
2018 January,Electrical Goods,103.5
2018 January,Pharmacy & Cosmetics,105.5
2018 January,Pharmacy & Cosmetics,111.0
2018 January,Clothing & Footwear,96.7
2018 January,Electrical Goods,149.6
2018 January,Furniture & Lighting,145.7
2018 January,Hardware & DIY,103.8
2018 January,Automotive Fuel,99.4
2018 January,Clothing & Footwear,107.1
2018 January,Bars,86.3
2018 January,Pharmacy & Cosmetics,115.6
2018 January,Motor Trades,219.4
2018 January,Department Stores,108.0
2018 January,Automotive Fuel,105.2
2018 January,Hardware & DIY,124.8
2018 January,Furniture & Lighting,143.9
2018 January,Bars,106.4
2018 January,Electrical Goods,134.1
2018 January,Clothing & Footwear,115.6
2018 January,Food Stores,111.4
2018 January,Motor Trades,121.9
2018 January,Food Stores,97.4
2018 January,Department Stores,76.0
2018 January,Automotive Fuel,102.7
2018 January,Hardware & DIY,94.8
2018 January,Furniture & Lighting,146.0
2018 January,Bars,77.4
2018 January,Electrical Goods,99.6
2018 January,Pharmacy & Cosmetics,94.8
2018 January,Clothing & Footwear,82.7
2018 February,Motor Trades,168.8
2018 February,Motor Trades,111.7
2018 February,Clothing & Footwear,104.5
2018 February,Pharmacy & Cosmetics,103.0
2018 February,Clothing & Footwear,87.7
2018 February,Hardware & DIY,114.4
2018 February,Bars,94.0
2018 February,Furniture & Lighting,132.6
2018 February,Food Stores,110.2
2018 February,Automotive Fuel,111.2
2018 February,Department Stores,88.4
2018 February,Electrical Goods,106.6
2018 February,Department Stores,97.8
2018 February,Bars,108.4
2018 February,Hardware & DIY,119.1
2018 February,Furniture & Lighting,119.4
2018 February,Food Stores,120.7
2018 February,Electrical Goods,101.5
2018 February,Pharmacy & Cosmetics,112.6
2018 February,Clothing & Footwear,112.8
2018 February,Electrical Goods,132.5
2018 February,Bars,105.1
2018 February,Furniture & Lighting,136.8
2018 February,Hardware & DIY,127.8
2018 February,Automotive Fuel,106.2
2018 February,Department Stores,110.0
2018 February,Food Stores,113.7
2018 February,Automotive Fuel,109.3
2018 February,Motor Trades,173.9
2018 February,Pharmacy & Cosmetics,106.2
2018 February,Pharmacy & Cosmetics,91.3
2018 February,Food Stores,107.9
2018 February,Department Stores,75.5
2018 February,Automotive Fuel,110.3
2018 February,Hardware & DIY,106.1
2018 February,Furniture & Lighting,155.7
2018 February,Bars,90.4
2018 February,Electrical Goods,78.5
2018 February,Clothing & Footwear,82.0
2018 February,Motor Trades,115.5
2018 March,Furniture & Lighting,122.7
2018 March,Bars,105.8
2018 March,Electrical Goods,132.8
2018 March,Automotive Fuel,97.9
2018 March,Pharmacy & Cosmetics,109.4
2018 March,Department Stores,95.6
2018 March,Hardware & DIY,108.1
2018 March,Clothing & Footwear,105.1
2018 March,Automotive Fuel,97.3
2018 March,Hardware & DIY,94.8
2018 March,Food Stores,112.2
2018 March,Motor Trades,111.5
2018 March,Bars,100.5
2018 March,Furniture & Lighting,90.2
2018 March,Automotive Fuel,95.8
2018 March,Department Stores,74.9
2018 March,Food Stores,106.3
2018 March,Motor Trades,126.4
2018 March,Department Stores,107.2
2018 March,Electrical Goods,81.9
2018 March,Hardware & DIY,103.7
2018 March,Pharmacy & Cosmetics,90.2
2018 March,Hardware & DIY,106.7
2018 March,Furniture & Lighting,105.3
2018 March,Bars,109.2
2018 March,Electrical Goods,101.0
2018 March,Clothing & Footwear,97.7
2018 March,Pharmacy & Cosmetics,101.2
2018 March,Motor Trades,132.3
2018 March,Food Stores,111.4
2018 March,Department Stores,89.3
2018 March,Automotive Fuel,96.1
2018 March,Furniture & Lighting,110.0
2018 March,Bars,105.1
2018 March,Electrical Goods,106.6
2018 March,Clothing & Footwear,83.3
2018 March,Pharmacy & Cosmetics,102.3
2018 March,Clothing & Footwear,87.0
2018 March,Motor Trades,109.1
2018 March,Food Stores,107.3
2018 April,Pharmacy & Cosmetics,115.6
2018 April,Clothing & Footwear,111.2
2018 April,Pharmacy & Cosmetics,105.5
2018 April,Bars,112.7
2018 April,Furniture & Lighting,145.5
2018 April,Hardware & DIY,120.2
2018 April,Motor Trades,114.6
2018 April,Food Stores,106.6
2018 April,Department Stores,96.6
2018 April,Food Stores,112.4
2018 April,Motor Trades,120.5
2018 April,Clothing & Footwear,102.8
2018 April,Automotive Fuel,107.7
2018 April,Electrical Goods,100.7
2018 April,Bars,115.7
2018 April,Furniture & Lighting,125.7
2018 April,Hardware & DIY,107.2
2018 April,Automotive Fuel,106.7
2018 April,Electrical Goods,133.7
2018 April,Department Stores,107.7
2018 April,Automotive Fuel,110.4
2018 April,Food Stores,107.4
2018 April,Department Stores,82.6
2018 April,Automotive Fuel,110.0
2018 April,Hardware & DIY,127.4
2018 April,Furniture & Lighting,107.8
2018 April,Bars,103.3
2018 April,Electrical Goods,80.5
2018 April,Clothing & Footwear,92.2
2018 April,Pharmacy & Cosmetics,96.6
2018 April,Motor Trades,130.0
2018 April,Department Stores,89.5
2018 April,Hardware & DIY,130.2
2018 April,Furniture & Lighting,138.0
2018 April,Bars,106.7
2018 April,Electrical Goods,100.9
2018 April,Clothing & Footwear,100.4
2018 April,Pharmacy & Cosmetics,108.4
2018 April,Motor Trades,144.1
2018 April,Food Stores,107.8
2018 May,Clothing & Footwear,107.6
2018 May,Pharmacy & Cosmetics,117.8
2018 May,Food Stores,109.4
2018 May,Motor Trades,114.6
2018 May,Motor Trades,111.4
2018 May,Motor Trades,108.1
2018 May,Pharmacy & Cosmetics,100.5
2018 May,Food Stores,109.6
2018 May,Clothing & Footwear,116.3
2018 May,Automotive Fuel,116.7
2018 May,Hardware & DIY,154.3
2018 May,Bars,110.3
2018 May,Electrical Goods,85.9
2018 May,Food Stores,113.6
2018 May,Department Stores,84.4
